sub	ses	block	earth_rt_mean	earth_rt_median	earth_n_miss	earth_p_miss	planet_rt_mean	planet_rt_median	planet_n_miss	planet_p_miss	reward_rate	avg_reward	reward_rate_corrected	prob_sameplanet_earthsame	prob_sameplanet_earthdif
117	1	b4	897.558	808.255	1	0.04	795.382	793.138	2	0.08	3.739	4.16	-0.421	0.455	0.25
118	1	b1	1052.756	1063.093	1	0.04	662.156	560.85	2	0.08	3.087	3.28	-0.193	0.538	0.6
118	1	b2	1029.894	1018.759	2	0.08	652.443	562.426	2	0.08	3.087	3.88	-0.793	0.5	0.6
118	1	b3	876.144	829.056	3	0.12	767.85	739.31	4	0.16	3.905	3.58	0.325	0.625	0.385
118	1	b4	922.166	797.302	0	0.0	706.127	636.14	0	0.0	4.08	4.7	-0.62	0.615	0.667
119	1	b1	1223.895	1426.572	4	0.16	656.876	593.535	4	0.16	5.619	5.02	0.599	0.6	0.455
119	1	b2	1278.762	1369.991	1	0.04	506.04	479.409	2	0.08	7.261	5.4	1.861	0.786	0.556
119	1	b3	1233.248	1400.404	1	0.04	631.904	589.505	1	0.04	4.458	4.32	0.138	0.8	0.714
119	1	b4	960.841	844.603	2	0.08	563.128	444.536	3	0.12	4.955	4.66	0.295	0.625	0.643
120	1	b1	987.702	921.091	1	0.04	741.632	731.777	1	0.04	4.333	4.44	-0.107	0.5	0.2
120	1	b2	1167.983	1219.719	5	0.2	774.042	755.662	6	0.24	4.421	4.36	0.061	0.5	0.091
